"id";"grupo";"caixa";"porta_cto";"status";"rn"
1676411;547;1769;1;L;2
1676476;547;1769;2;L;2
1676477;547;1769;3;L;2
1676478;547;1769;4;L;2
1676479;547;1769;5;L;2
1676480;547;1769;6;L;2
1676481;547;1769;7;L;2
1676482;547;1769;8;L;2
1676483;547;1770;1;L;2
1676484;547;1770;2;L;2
1676485;547;1770;3;L;2
1676486;547;1770;4;L;2
1676487;547;1770;5;L;2
1676488;547;1770;6;L;2
1676489;547;1770;7;L;2
1676426;547;1770;8;L;2
1676491;547;1771;1;L;2
1676492;547;1771;2;L;2
1676493;547;1771;3;L;2
1676494;547;1771;4;L;2
1676495;547;1771;5;L;2
1676496;547;1771;6;L;2
1676497;547;1771;7;L;2
1676498;547;1771;8;L;2
1676499;547;1772;1;A;2
1676500;547;1772;2;L;2
1676501;547;1772;3;L;2
1676502;547;1772;4;L;2
1676503;547;1772;5;L;2
1676504;547;1772;6;L;2
1676505;547;1772;7;L;2
1676506;547;1772;8;L;2
1676507;547;1773;1;L;2
1676508;547;1773;2;L;2
1676509;547;1773;3;L;2
1676510;547;1773;4;L;2
1676511;547;1773;5;L;2
1676512;547;1773;6;L;2
1676513;547;1773;7;L;2
1676514;547;1773;8;L;2
1676515;547;1774;1;A;2
1676516;547;1774;2;A;2
1676517;547;1774;3;L;2
1676518;547;1774;4;L;2
1676519;547;1774;5;L;2
1676520;547;1774;6;L;2
1676521;547;1774;7;L;2
1676522;547;1774;8;L;2
1676523;547;1775;1;L;2
1676524;547;1775;2;L;2
1676525;547;1775;3;L;2
1676526;547;1775;4;L;2
1676527;547;1775;5;L;2
1676528;547;1775;6;L;2
1676529;547;1775;7;L;2
1676530;547;1775;8;L;2
1676531;547;1776;1;L;2
1676532;547;1776;2;L;2
1676533;547;1776;3;L;2
1676534;547;1776;4;L;2
1676535;547;1776;5;L;2
1676536;547;1776;6;L;2
1676537;547;1776;7;L;2
1676538;547;1776;8;L;2
2035125;1055;1;1;L;2
2035126;1055;1;2;L;2
2035127;1055;1;3;L;2
2035128;1055;1;4;A;2
2035129;1055;1;5;L;2
2035130;1055;1;6;L;2
2035131;1055;1;7;L;2
2035132;1055;1;8;L;2
2035133;1055;2;1;L;2
2035134;1055;2;2;L;2
2035135;1055;2;3;L;2
2035136;1055;2;4;L;2
2035137;1055;2;5;L;2
2035138;1055;2;6;L;2
2035139;1055;2;7;L;2
2035140;1055;2;8;L;2
2035141;1055;3;1;L;2
2035142;1055;3;2;L;2
2035143;1055;3;3;L;2
2035144;1055;3;4;L;2
2035145;1055;3;5;L;2
2035146;1055;3;6;L;2
2035147;1055;3;7;L;2
2035148;1055;3;8;L;2
2035149;1055;4;1;L;2
2035150;1055;4;2;L;2
2035151;1055;4;3;L;2
2035152;1055;4;4;L;2
2035153;1055;4;5;L;2
2035154;1055;4;6;L;2
2035155;1055;4;7;L;2
2035156;1055;4;8;L;2
2035157;1055;5;1;L;2
2035158;1055;5;2;L;2
2035159;1055;5;3;L;2
2035160;1055;5;4;L;2
2035161;1055;5;5;L;2
2035162;1055;5;6;L;2
2035163;1055;5;7;L;2
2035164;1055;5;8;L;2
2035165;1055;6;1;L;2
2035166;1055;6;2;L;2
2035167;1055;6;3;L;2
2035168;1055;6;4;L;2
2035169;1055;6;5;L;2
2035170;1055;6;6;L;2
2035171;1055;6;7;L;2
2035172;1055;6;8;L;2
1645391;1055;7;1;L;2
1645392;1055;7;2;L;2
1645393;1055;7;3;L;2
1645394;1055;7;4;L;2
1645395;1055;7;5;L;2
1645396;1055;7;6;L;2
1645397;1055;7;7;L;2
1645398;1055;7;8;L;2
2035173;1055;8;1;L;2
2035174;1055;8;2;L;2
2035175;1055;8;3;L;2
2035176;1055;8;4;L;2
2035177;1055;8;5;L;2
2035178;1055;8;6;L;2
2035179;1055;8;7;A;2
2035180;1055;8;8;L;2
2035181;1055;9;1;L;2
2035182;1055;9;2;L;2
2035183;1055;9;3;L;2
2035184;1055;9;4;L;2
2035185;1055;9;5;L;2
2035186;1055;9;6;L;2
2035187;1055;9;7;L;2
2035188;1055;9;8;L;2
2035189;1055;10;1;L;2
2035190;1055;10;2;L;2
2035191;1055;10;3;L;2
2035192;1055;10;4;L;2
2035193;1055;10;5;L;2
2035194;1055;10;6;L;2
